symbol,rows,start,end,missing_candles,missing_pct
BTCUSDT,56952,2020-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,31,0.0544
ETHUSDT,56952,2020-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,31,0.0544
BNBUSDT,56952,2020-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,31,0.0544
XRPUSDT,56952,2020-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,31,0.0544
ADAUSDT,56952,2020-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,31,0.0544
SOLUSDT,51594,2020-08-11 06:00:00+00:00,2026-06-30 23:00:00+00:00,19,0.0368
DOGEUSDT,56952,2020-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,31,0.0544
LTCUSDT,56952,2020-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,31,0.0544
LINKUSDT,56952,2020-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,31,0.0544
AVAXUSDT,50586,2020-09-22 06:00:00+00:00,2026-06-30 23:00:00+00:00,19,0.0376
