blend,n,pearson,spearman,r2_vs_zero,decile_spread,top_decile_net,calibration_slope,directional_accuracy
patchtst,109240,0.05956834825516973,0.07732541850496177,0.0020220721581417633,0.0038419377866852453,0.0010818943719999934,0.6024424744352903,0.5226839985353351
gbm_lags,109240,0.06045218127316253,0.06727288339538912,0.0009891843040946702,0.002626145346348664,0.0008533194346496966,0.5416307327618635,0.525759794946906
gbm_last,109240,0.06736135817004896,0.06394879019760706,0.0024902882973607543,0.00248537813543633,0.0008950559716096663,0.6008032816054567,0.5232790186744782
momentum_ols,109240,0.011965011558413705,0.03337242734177454,7.38777249450484e-05,0.00018399354512004852,-0.00039782631027314886,0.5844764926964113,0.5105822043207616
momentum_raw,109240,-0.014041710315777549,-0.03619463377674623,-0.9870525765095459,-0.00034714418478382807,-0.0005857036643006703,-0.014334391490991038,0.4803122098314839
ridge_lags,109240,0.04126454253927513,0.04046679693081128,0.0009742069515913387,0.0023457825150681676,6.706880194493124e-05,0.6024277369812914,0.5104357378249725
ridge_last,109240,0.034521321548304035,0.03432661053027087,0.0011879725979941913,0.0011906516290681967,-0.0001469812208049543,0.8789540626804719,0.5081471988282681
zsum:gbm_lags,109240,0.07488147312717996,0.0895400302404144,,0.004081313548741951,0.001356487694879105,,0.5308952764555108
zsum:gbm_last,109240,0.08078199845731204,0.0924704564823962,,0.004397484665763426,0.0014807511596899227,,0.5313072134749176
zsum:momentum_ols,109240,0.04836342155262913,0.07238652472926614,,0.002854593006892015,0.0009641491099322082,,0.5241395093372391
zsum:momentum_raw,109240,0.034152670706137186,0.03247400132520363,,0.0025404008172487365,0.00022606115044591663,,0.5067466129622848
zsum:ridge_lags,109240,0.07053562095992805,0.07503835979695131,,0.0047457770302547116,0.0016851677388372845,,0.5204961552544856
zsum:ridge_last,109240,0.06708359684943806,0.07473634478778499,,0.0040998965016052,0.0016357411599741058,,0.5218418161845478
ols:gbm_lags,109240,0.04784383834220221,0.0656300973767273,0.00013286788145150386,0.002409083547962791,0.00022274421285182252,0.5302996629085825,0.5189582570487001
ols:gbm_last,109240,0.06111561091257278,0.06958729976038709,0.00243592489124278,0.0033299986554608356,0.0010338353231546906,0.6651997585853683,0.520020139143171
ols:momentum_ols,109240,0.04658941358931537,0.061902150581458024,0.0011596734630759942,0.0033875525889080263,0.0002528361372321536,0.6393470941190226,0.518711094837056
ols:momentum_raw,109240,0.04658941354583899,0.061902148106259436,0.001159673454866894,0.0033875525889080263,0.0002528361372321536,0.6393470933641536,0.518711094837056
ols:ridge_lags,109240,0.05328154510891349,0.05934938269799468,0.0017554122503312675,0.003747866897349462,0.0006576111326449482,0.6536335014593445,0.5153789820578543
ols:ridge_last,109240,0.049344687061001674,0.061615938906236324,0.0012279702409839777,0.003222598263421663,0.0004711526645501923,0.6204800648581249,0.5170450384474552
ols_nn:gbm_lags,109240,0.05130459275797463,0.06983188301727267,0.0006918495266563518,0.0027382238905845732,0.0003605193942840313,0.5637418688925254,0.5210179421457342
ols_nn:gbm_last,109240,0.06254948394420796,0.07158015796184762,0.00268223596420869,0.003397465249161855,0.0010716224277053106,0.6788426682747845,0.5210911753936287
ols_nn:momentum_ols,109240,0.04658941358931537,0.061902150581458024,0.0011596734630759942,0.0033875525889080263,0.0002528361372321536,0.6393470941190226,0.518711094837056
ols_nn:momentum_raw,109240,0.0449717058373494,0.05852244270431983,0.0012242227924532667,0.0032644785910060994,0.00012393326704681273,0.6672625958766237,0.5172098132552179
ols_nn:ridge_lags,109240,0.05328154510891349,0.05934938269799468,0.0017554122503312675,0.003747866897349462,0.0006576111326449482,0.6536335014593445,0.5153789820578543
ols_nn:ridge_last,109240,0.049344687061001674,0.061615938906236324,0.0012279702409839777,0.003222598263421663,0.0004711526645501923,0.6204800648581249,0.5170450384474552
ols_all,109240,0.05582627051807899,0.06193997068241152,0.0003386196553100129,0.003524086071823667,0.0009178884424544812,0.5288037699483811,0.5173928963749542
ols_all_nn,109240,0.06917504994625068,0.07953868924568974,-6.876220293827728e-05,0.004032186895546184,0.0016068751374811797,0.5116503562844483,0.5247162211644086
ols_all_no_patchtst,109240,0.051035764321461626,0.050774566715577486,0.00023462843076260675,0.0025891676537382283,0.0008860969939985658,0.5296275345752569,0.5128066642255584
