blend,fold,patchtst,gbm_lags,intercept,gbm_last,momentum_ols,momentum_raw,ridge_lags,ridge_last
ols:gbm_lags,1,0.5011543258591227,0.1216006673429348,0.0011835764593984416,,,,,
ols_nn:gbm_lags,1,0.5011543258591227,0.1216006673429348,0.0011835764593984416,,,,,
ols:gbm_last,1,0.47059844769827686,,0.00118985618756684,0.3114626860698785,,,,
ols_nn:gbm_last,1,0.47059844769827686,,0.00118985618756684,0.3114626860698785,,,,
ols:momentum_ols,1,0.4881117494421608,,0.0010858064985088678,,1.5002692091257575,,,
ols_nn:momentum_ols,1,0.4881117494421608,,0.0010858064985088678,,1.5002692091257575,,,
ols:momentum_raw,1,0.48811174840383675,,0.0012217507864709723,,,-0.02917459836115066,,
ols_nn:momentum_raw,1,0.48811174840383675,,0.0011880870324876178,,,0.0,,
ols:ridge_lags,1,0.5040189250030611,,0.0011981720060768586,,,,0.7449778200083794,
ols_nn:ridge_lags,1,0.5040189250030611,,0.0011981720060768586,,,,0.7449778200083794,
ols:ridge_last,1,0.509111557188238,,0.001137768043306231,,,,,1.7644019788575793
ols_nn:ridge_last,1,0.509111557188238,,0.001137768043306231,,,,,1.7644019788575793
ols_all,1,0.48310865600854,-0.4274214086630972,0.0011341748289658837,0.4896256972010232,1.3960262955830736,,0.7942461129036117,-0.20106134635507897
ols_all_nn,1,0.48310865600854,0.0,0.0011070818095292837,0.4896256972010232,1.3960262955830736,,0.7942461129036117,0.0
ols_all_no_patchtst,1,,-0.24462493162507973,0.0010719703320392904,0.46194277526927674,1.4708674113944382,,1.064561714368932,-0.34761538884985493
ols:gbm_lags,2,0.2535898737085188,0.8415466600722078,0.0006747822400220427,,,,,
ols_nn:gbm_lags,2,0.2535898737085188,0.8415466600722078,0.0006747822400220427,,,,,
ols:gbm_last,2,0.384583782441169,,0.0006995553546723654,0.7906778391167688,,,,
ols_nn:gbm_last,2,0.384583782441169,,0.0006995553546723654,0.7906778391167688,,,,
ols:momentum_ols,2,0.5133512419489696,,0.0004576402037397287,,1.9896162697751816,,,
ols_nn:momentum_ols,2,0.5133512419489696,,0.0004576402037397287,,1.9896162697751816,,,
ols:momentum_raw,2,0.5133512417782569,,0.0008029560773061342,,,-0.040016656418079125,,
ols_nn:momentum_raw,2,0.5133512417782569,,0.0007720687990162014,,,0.0,,
ols:ridge_lags,2,0.3943215819228194,,0.0007335528775436195,,,,0.6546952322626645,
ols_nn:ridge_lags,2,0.3943215819228194,,0.0007335528775436195,,,,0.6546952322626645,
ols:ridge_last,2,0.46578920358473397,,0.0007207945030883733,,,,,0.7958492446381702
ols_nn:ridge_last,2,0.46578920358473397,,0.0007207945030883733,,,,,0.7958492446381702
ols_all,2,0.18643429089711433,0.6382515251527876,0.0007856377925572477,0.29734847962859356,-0.8498586844587254,,0.35253255586950893,-0.015011450832991158
ols_all_nn,2,0.18643429089711433,0.6382515251527876,0.0006503590441918213,0.29734847962859356,0.0,,0.35253255586950893,0.0
ols_all_no_patchtst,2,,0.6781829622814671,0.0007737566304738541,0.2929955088108678,-0.8136089927142285,,0.42670416185096194,-0.040408905400821676
ols:gbm_lags,3,0.21167844558612944,0.1880689618666243,-0.0005703651536117516,,,,,
ols_nn:gbm_lags,3,0.21167844558612944,0.1880689618666243,-0.0005703651536117516,,,,,
ols:gbm_last,3,0.17872809957181499,,-0.0006314762037787913,0.35963233029388153,,,,
ols_nn:gbm_last,3,0.17872809957181499,,-0.0006314762037787913,0.35963233029388153,,,,
ols:momentum_ols,3,0.26425044045288937,,-0.0006003279834110864,,0.4426705395038471,,,
ols_nn:momentum_ols,3,0.26425044045288937,,-0.0006003279834110864,,0.4426705395038471,,,
ols:momentum_raw,3,0.264250444080785,,-0.000503739805586512,,,-0.009621696065366565,,
