model,scope,n,p10_coverage,p50_coverage,p90_coverage,central80_coverage,pinball_p10,pinball_p50,pinball_p90,crps,nll,mean_interval_width,median_interval_width,base_rate,mean_pred,brier,log_loss,ece,actual
gbm_quantile,pooled,109240,0.11148846576345661,0.4959904796777737,0.8900494324423288,0.7785609666788722,0.003092374581792745,0.005982489195128167,0.002931799856816804,0.008539179203629852,-2.7308480485758317,0.03486149048557732,0.031842722136256815,,,,,,
static,pooled,109240,0.0825704870010985,0.5004760161113145,0.9193518857561332,0.8367813987550348,0.0033696602557059248,0.006008359615554517,0.0033435647721607184,0.008852225949615468,-2.706015499992022,0.04144341626268606,0.041500502977328144,,,,,,
gbm_quantile,fold1,21800,0.09811926605504587,0.47577981651376144,0.8847247706422018,0.786605504587156,0.0029388152052269804,0.005851961049828004,0.0030049825861248438,0.008377759517336606,-2.758128621024765,0.034972306747056155,0.03246143370098613,,,,,,
gbm_quantile,fold2,21800,0.11284403669724771,0.5127064220183486,0.8993119266055046,0.7864678899082569,0.002738745114372766,0.0050060795048409166,0.002397119244593323,0.007178231019755033,-2.8752756971699234,0.02936377270073205,0.027420009019670996,,,,,,
gbm_quantile,fold3,22040,0.11941923774954628,0.49487295825771327,0.8889745916515427,0.7695553539019964,0.0028459001553048945,0.005315398511612793,0.002552418915602219,0.0076150176938196285,-2.812067313126538,0.030288697177840947,0.028770522271009864,,,,,,
gbm_quantile,fold4,22040,0.10911978221415608,0.4841197822141561,0.8825317604355717,0.7734119782214156,0.003224035592695994,0.006684266753254687,0.003354168888455336,0.009479023034149957,-2.6981454398472007,0.0393775840887582,0.03433867047364114,,,,,,
gbm_quantile,fold5,21560,0.11794990723562152,0.5128014842300557,0.8948515769944342,0.7769016697588126,0.003722578871142182,0.007066290034616844,0.0033544898537840023,0.010062462191626964,-2.5076316147605926,0.040366319553192885,0.038059524144015415,,,,,,
static,fold1,21800,0.07073394495412844,0.485045871559633,0.9197247706422018,0.8489908256880734,0.0032757034298002844,0.005912655503315818,0.0033660483336441175,0.008724260097596397,-2.7235220395405197,0.04266515138683215,0.042665151386832155,,,,,,
static,fold2,21800,0.062339449541284404,0.5204128440366973,0.9444954128440367,0.8821559633027523,0.0029876108917491757,0.005017559165822029,0.0028375465206947666,0.0074761910376931525,-2.863750914367474,0.04189017491683545,0.04189017491683546,,,,,,
static,fold3,22040,0.06823956442831217,0.49882032667876586,0.9380217785843921,0.8697822141560798,0.0030168113479736077,0.0053156189160591715,0.0029042113887867683,0.007803181932445716,-2.817911458524903,0.04150050297732815,0.041500502977328144,,,,,,
static,fold4,22040,0.09392014519056262,0.4862068965517241,0.8971869328493648,0.8032667876588022,0.003573654763932052,0.0067168125134217885,0.00385164316673675,0.009873204929311978,-2.59395500529018,0.04082860048830516,0.04082860048830517,,,,,,
static,fold5,21560,0.11804267161410019,0.5121985157699444,0.8971243042671614,0.7790816326530612,0.0040031336278820145,0.007090896841846475,0.0037622269704318573,0.010401658699143876,-2.528991000067244,0.04032649530302939,0.04032649530302938,,,,,,
gbm_classifier,prob_pooled,109240,,,,,,,,,,,,0.46227572317832294,0.4597551858355138,0.24717701305668666,0.6875320862070585,0.015913262799383203,
gbm_from_quantiles,prob_pooled,109240,,,,,,,,,,,,0.46227572317832294,0.4576021795708778,0.24734518869233985,0.687909155166644,0.016694987178278983,
static,prob_pooled,109240,,,,,,,,,,,,0.46227572317832294,0.4640168634617877,0.24859043093849686,0.6903254778477219,0.012536599342702523,
gbm_classifier,bucket_0.00_0.30,482,,,,,,,,,,,,,0.27606086598793245,,,,0.4149377593360996
gbm_classifier,bucket_0.30_0.40,17256,,,,,,,,,,,,,0.37151644292563646,,,,0.40316411682892905
gbm_classifier,bucket_0.40_0.45,31772,,,,,,,,,,,,,0.4267407701558748,,,,0.43796424524738764
gbm_classifier,bucket_0.45_0.50,32202,,,,,,,,,,,,,0.47353168318760436,,,,0.4712750760822309
gbm_classifier,bucket_0.50_0.55,18893,,,,,,,,,,,,,0.5219347351903704,,,,0.5028317366220293
gbm_classifier,bucket_0.55_0.60,6957,,,,,,,,,,,,,0.5696241249648049,,,,0.5377317809400604
gbm_classifier,bucket_0.60_0.65,1441,,,,,,,,,,,,,0.617455928413587,,,,0.594031922276197
gbm_classifier,bucket_0.65_0.70,219,,,,,,,,,,,,,0.6674480913279793,,,,0.634703196347032
