symbol,n,rmse,pearson,spearman,directional_accuracy,r2_vs_zero
ADAUSDT,10924,0.02233991661725871,0.06672959969763408,0.09001169645193129,0.532039545953863,0.004201404156257249
AVAXUSDT,10924,0.021356279242095773,0.052211269978797006,0.0767752246157634,0.5200476016111315,0.0013990667450458627
BNBUSDT,10924,0.012969102610424879,0.06552441980775198,0.07867260449722352,0.5241669718051996,-0.0018788800374818226
BTCUSDT,10924,0.011253682697873312,0.05571986351536011,0.06781879205313618,0.5222445990479678,-0.008275719993963815
DOGEUSDT,10924,0.02287779448177105,0.08381934758691972,0.09733460884300668,0.5227023068473087,0.0070693686721442495
ETHUSDT,10924,0.014525838770662453,0.05597043594567148,0.07798456055149094,0.5286525082387404,-0.001977365034081746
LINKUSDT,10924,0.020677082263368285,0.05195533228171775,0.06434572607434283,0.5140974002196997,0.001188476101469771
LTCUSDT,10924,0.018006620451062764,0.061852768690581345,0.07443763316641573,0.5159282314170633,0.0019745244694576725
SOLUSDT,10924,0.01964736153033423,0.041711798160876105,0.06443989705930424,0.5240754302453314,-0.0011008530203111544
XRPUSDT,10924,0.01980837957026077,0.06935121721120914,0.08524348901265094,0.522885389967045,0.0043029321202887605
